City,Latitude,Longitude,Max Temperature,Humidity,Cloud Cover,Wind Speed,Country,Date Time
Bredasdorp,-34.5322,20.0403,71.6,53,56,23.02,ZA,1615327598
Oberá,-27.4871,-55.1199,74.23,55,2,3.29,AR,1615327598
Hithadhoo,-0.6,73.0833,83.59,61,48,3.0,MV,1615327598
Butaritari,3.0707,172.7902,80.44,78,19,7.43,KI,1615327599
Khor,47.8861,134.9464,16.7,97,100,6.11,RU,1615327599
Gizo Government Station,-8.103,156.8419,83.05,72,60,3.02,SB,1615327599
Ribeira Grande,38.5167,-28.7,60.8,88,75,12.66,PT,1615327600
Fairbanks,64.8378,-147.7164,28.99,63,90,1.57,US,1615327600
Mataura,-46.1927,168.8643,57.0,95,100,3.0,NZ,1615327600
Hermanus,-34.4187,19.2345,62.01,95,99,15.01,ZA,1615327601
Cândido Mendes,-1.4467,-45.7167,75.45,94,100,3.69,BR,1615327601
Atuona,-9.8,-139.0333,79.47,80,28,19.71,PF,1615327601
Saldanha,-33.0117,17.9442,64.4,82,80,17.27,ZA,1615327602
Dāmghān,36.1683,54.348,46.54,56,9,2.89,IR,1615327602
Norman Wells,65.282,-126.8329,1.4,60,1,13.8,CA,1615327602
Kavieng,-2.5744,150.7967,82.53,78,19,12.53,PG,1615327602
Saint-François,46.4154,3.9054,37.4,70,0,1.79,FR,1615327603
Port Blair,11.6667,92.75,77.81,74,0,5.84,IN,1615327603
Hobart,-42.8794,147.3294,57.0,62,20,6.91,AU,1615327603
Markala,13.7021,-6.0659,85.24,16,1,10.76,ML,1615327604
Zhalantun,48.0,122.7167,18.09,79,50,4.43,CN,1615327604
Clyde River,70.4692,-68.5914,-2.2,84,75,17.27,CA,1615327604
Avarua,-21.2078,-159.775,82.4,69,90,8.05,CK,1615327605
Khorixas,-20.3667,14.9667,69.73,33,0,3.31,NA,1615327605
Kédougou,12.5579,-12.1743,85.06,16,0,3.8,SN,1615327605
Te Anau,-45.4167,167.7167,54.52,89,100,1.36,NZ,1615327606
Yuzhnyy,53.2542,83.6936,15.8,62,0,8.95,RU,1615327606
Maţāy,28.419,30.7792,66.88,23,0,5.35,EG,1615327606
Naraina,26.7833,75.2,75.2,46,20,4.61,IN,1615327345
Port Elizabeth,-33.918,25.5701,66.27,73,60,5.37,ZA,1615327398
Guayanilla,18.0191,-66.7918,81.0,68,66,8.97,PR,1615327607
Broome,42.2506,-75.833,42.8,61,1,9.22,US,1615327607
Dunedin,-45.8742,170.5036,59.0,80,100,1.01,NZ,1615327353
Rikitea,-23.1203,-134.9692,80.8,82,0,17.22,PF,1615327608
Ahipara,-35.1667,173.1667,67.89,67,100,9.19,NZ,1615327608
Pevek,69.7008,170.3133,-17.54,87,100,10.67,RU,1615327608
La Palma,33.8464,-118.0467,64.4,36,20,17.27,US,1615327608
Thompson,55.7435,-97.8558,23.0,39,20,4.61,CA,1615327470
São Raimundo Nonato,-9.0153,-42.6994,76.33,80,74,5.77,BR,1615327609
Korla,41.7597,86.1469,43.48,58,59,0.74,CN,1615327609
Nikolskoye,59.7035,30.7861,1.99,77,0,8.95,RU,1615327610
St. George's,12.0564,-61.7485,78.8,69,20,11.5,GD,1615327610
Saskylakh,71.9167,114.0833,-27.99,84,51,6.64,RU,1615327610
Ereymentau,51.6199,73.1033,11.98,87,100,3.96,KZ,1615327611
Yellowknife,62.456,-114.3525,-0.99,60,20,4.03,CA,1615327611
Ponta do Sol,32.6667,-17.1,55.99,53,28,7.0,PT,1615327611
Tres Arroyos,-38.3739,-60.2798,74.55,25,0,7.7,AR,1615327612
Mount Isa,-20.7333,139.5,78.8,69,4,2.95,AU,1615327612
Vila Velha,-20.3297,-40.2925,73.4,94,90,3.44,BR,1615327612
Husavik,66.0449,-17.3389,32.0,74,90,18.41,IS,1615327612
Lorengau,-2.0226,147.2712,83.37,74,98,10.36,PG,1615327613
Örnsköldsvik,63.2909,18.7153,8.6,92,56,5.75,SE,1615327613
Bayir,37.2687,28.2167,48.2,71,75,3.44,TR,1615327613
Machaneng,-23.1862,27.4886,76.48,37,27,1.39,BW,1615327614
Sirte,31.2089,16.5887,61.05,79,0,9.35,LY,1615327614
Ardabil,38.2498,48.2933,33.37,90,17,2.44,IR,1615327614
Mbala,-8.8402,31.3659,59.72,91,94,1.5,ZM,1615327615
Debre Sīna,9.85,39.7667,53.11,58,17,0.92,ET,1615327615
Cherskiy,68.75,161.3,-11.99,89,100,11.74,RU,1615327615
Saint-Philippe,-21.3585,55.7679,77.0,65,0,5.75,RE,1615327616
San Quintín,30.4833,-115.95,61.34,57,0,23.91,MX,1615327616
Dingcheng,32.1272,115.0394,44.65,93,0,5.37,CN,1615327616
Mount Gambier,-37.8333,140.7667,55.4,88,90,6.91,AU,1615327513
Torbay,47.6666,-52.7314,28.0,74,90,18.41,CA,1615327617
Klyuchi,52.2667,79.1667,7.47,95,79,5.97,RU,1615327617
Tuatapere,-46.1333,167.6833,57.0,95,100,3.0,NZ,1615327618
Igrim,63.1906,64.4162,-23.21,87,94,1.52,RU,1615327618
Codrington,-38.2667,141.9667,56.43,85,18,5.1,AU,1615327618
Mahébourg,-20.4081,57.7,75.2,94,20,4.61,MU,1615327619
Talnakh,69.4865,88.3972,-17.99,87,100,2.46,RU,1615327619
Katangli,51.7102,143.2326,18.43,97,100,15.37,RU,1615327619
Provideniya,64.3833,-173.3,-4.0,77,40,11.18,RU,1615327620
Coahuayana Viejo,18.7333,-103.6833,84.2,54,40,7.43,MX,1615327620
Nishihara,26.1842,127.7558,66.2,68,75,8.05,JP,1615327620
Bodden Town,19.2833,-81.25,80.6,65,40,20.71,KY,1615327621
Santana do Matos,-5.9575,-36.6556,83.73,56,51,15.08,BR,1615327621
Port Alfred,-33.5906,26.891,69.01,82,50,5.01,ZA,1615327365
Milpitas,37.4283,-121.9066,61.0,41,75,11.5,US,1615327431
Hilo,19.7297,-155.09,71.6,88,90,4.61,US,1615327537
Poya,-21.35,165.15,79.36,67,1,3.31,NC,1615327622
Mehamn,71.0357,27.8492,15.8,67,0,14.97,NO,1615327622
Port Moresby,-9.4431,147.1797,73.4,100,40,5.75,PG,1615327622
Nyimba,-14.5566,30.8149,64.9,90,37,3.18,ZM,1615327623
Richards Bay,-28.783,32.0377,82.74,68,8,14.23,ZA,1615327512
Hvide Sande,56.0045,8.1294,27.0,82,0,11.92,DK,1615327623
Wakema,16.6,95.1833,68.54,90,100,7.85,MM,1615327624
Tuktoyaktuk,69.4541,-133.0374,-5.8,71,40,18.41,CA,1615327624
Pochutla,15.7432,-96.4661,89.01,55,40,11.5,MX,1615327624
Fort Nelson,58.8053,-122.7002,23.0,39,20,19.57,CA,1615327625
Praia Grande,-24.0058,-46.4028,82.0,83,0,2.3,BR,1615327424
Mwingi,-0.9344,38.0601,68.2,67,77,4.92,KE,1615327625
Antofagasta,-23.65,-70.4,71.6,68,20,10.36,CL,1615327625
Pionki,51.476,21.4499,27.0,68,92,4.83,PL,1615327626
Avilés,43.5547,-5.9248,45.0,76,40,3.44,ES,1615327626
Touros,-5.1989,-35.4608,80.08,75,23,12.91,BR,1615327626
Jaltenango,15.8719,-92.7247,87.66,28,75,7.52,MX,1615327627
São Miguel do Araguaia,-13.275,-50.1628,74.84,83,82,2.91,BR,1615327627
Klaksvík,62.2266,-6.589,42.8,93,90,36.82,FO,1615327627
Nuuk,64.1835,-51.7216,21.2,86,90,12.66,GL,1615327444
Loreto,22.2667,-101.9667,80.96,14,26,0.96,MX,1615327598
Grand Gaube,-20.0064,57.6608,77.0,81,1,3.0,MU,1615327628
Kralendijk,12.15,-68.2667,80.6,69,75,13.8,BQ,1615327628
Batetskiy,58.6461,30.3027,4.44,91,100,8.08,RU,1615327628
Dikson,73.5069,80.5464,-23.39,88,100,4.83,RU,1615327629
Noumea,-22.2763,166.4572,81.0,61,0,2.3,NC,1615327629
Beringovskiy,63.05,179.3167,-17.14,81,0,4.21,RU,1615327629
Saint-Augustin,51.226,-58.6502,24.48,95,16,10.31,CA,1615327630
São João da Barra,-21.6403,-41.0511,76.32,85,98,5.26,BR,1615327456
Alofi,-19.0595,-169.9187,77.77,70,55,12.28,NU,1615327630
Kaka,37.3482,59.6143,48.07,58,100,5.57,TM,1615327631
Qaanaaq,77.484,-69.3632,5.09,83,95,3.33,GL,1615327631
Xiongyue,40.1774,122.1228,38.66,71,0,5.32,CN,1615327631
Omsukchan,62.5333,155.8,-15.11,77,26,4.23,RU,1615327632
Tynda,55.1667,124.7167,11.16,95,100,1.28,RU,1615327632
East London,-33.0153,27.9116,71.73,86,98,6.44,ZA,1615327632
Sharan,54.8167,54.0,10.8,96,100,5.5,RU,1615327633
Le Port,-20.9373,55.2919,73.4,83,75,3.44,RE,1615327633
Kruisfontein,-34.0033,24.7314,64.98,69,89,2.55,ZA,1615327633
Sitka,57.0531,-135.33,39.2,48,40,9.22,US,1615327633
Sur,22.5667,59.5289,74.82,48,0,6.64,OM,1615327634
Flinders,-34.5833,150.8552,66.99,91,96,1.99,AU,1615327634
Bahir Dar,11.5936,37.3908,72.91,35,87,5.64,ET,1615327634
Gostyń,51.8825,17.0123,28.99,71,0,6.29,PL,1615327635
Labuan,5.2767,115.2417,77.0,94,20,1.14,MY,1615327635
Hattiesburg,31.3271,-89.2903,73.4,38,1,6.91,US,1615327635
Faanui,-16.4833,-151.75,82.45,78,66,17.76,PF,1615327636
Vao,-22.6667,167.4833,75.83,67,2,10.02,NC,1615327636
Mīzan Teferī,6.9833,35.5833,67.32,57,3,3.04,ET,1615327636
Borūjerd,33.8973,48.7516,41.9,65,0,4.25,IR,1615327637
Guerrero Negro,27.9769,-114.0611,63.05,57,100,21.36,MX,1615327637
Coquimbo,-29.9533,-71.3436,66.2,77,75,6.91,CL,1615327398
Vardø,70.3705,31.1107,12.2,67,63,25.32,NO,1615327637
Puerto Ayora,-0.7393,-90.3518,84.2,70,75,11.5,EC,1615327638
Bam,29.106,58.357,67.71,26,0,8.63,IR,1615327638
Port Lincoln,-34.7333,135.8667,62.62,82,98,9.84,AU,1615327638
Ratnagiri,16.9833,73.3,74.98,63,0,4.32,IN,1615327639
Freetown,8.484,-13.2299,78.49,82,42,10.69,SL,1615327524
Walvis Bay,-22.9575,14.5053,61.0,82,0,4.61,NA,1615327639
Cabo San Lucas,22.8909,-109.9124,84.2,36,75,13.8,MX,1615327639
Jilin,43.0,126.0,25.16,80,12,4.32,CN,1615327640
Nanortalik,60.1432,-45.2371,24.53,95,91,2.35,GL,1615327640
New Norfolk,-42.7826,147.0587,57.0,66,7,2.93,AU,1615327640
Severo-Yeniseyskiy,60.3725,93.0408,9.77,95,99,9.91,RU,1615327641
Berlevåg,70.8578,29.0864,17.6,57,0,17.27,NO,1615327641
Cockburn Town,21.4612,-71.1419,69.8,94,90,13.8,TC,1615327641
Kerrville,30.0474,-99.1403,71.6,64,90,16.11,US,1615327478
Pocola,35.2312,-94.478,66.2,63,90,8.05,US,1615327642
Castro,-24.7911,-50.0119,62.62,91,24,7.85,BR,1615327642
Ayr,55.4627,-4.6339,46.4,87,90,28.77,GB,1615327642
São Filipe,14.8961,-24.4956,69.6,76,0,10.71,CV,1615327643
Mashhad,36.297,59.6062,41.0,81,0,4.61,IR,1615327643
Poieni,46.9167,22.9,34.0,55,90,9.22,RO,1615327643
Lompoc,34.6391,-120.4579,59.0,51,1,18.41,US,1615327644
Ponta Delgada,37.7333,-25.6667,59.0,94,75,5.75,PT,1615327644
Armidale,-30.5167,151.65,60.01,90,90,4.7,AU,1615327644
Chara,56.9064,118.2631,6.73,85,74,2.46,RU,1615327644
Ripiceni,47.95,27.1333,30.99,74,90,5.75,RO,1615327645
Beruwala,6.4788,79.9828,76.73,84,56,3.44,LK,1615327645
Carnarvon,-24.8667,113.6333,73.4,94,40,4.61,AU,1615327645
Samagaltay,50.6022,95.0047,14.0,87,0,0.94,RU,1615327646
Namatanai,-3.6667,152.4333,81.84,74,100,7.16,PG,1615327646
Sagua de Tánamo,20.5819,-75.2414,75.43,67,87,10.38,CU,1615327646
Salalah,17.0151,54.0924,73.4,60,0,4.61,OM,1615327647
Hobyo,5.3505,48.5268,78.33,79,40,12.21,SO,1615327647
Kumluca,36.3703,30.2869,56.71,49,7,7.94,TR,1615327647
Saint George,37.1041,-113.5841,60.01,18,1,12.66,US,1615327648
Saint Paul Harbor,57.79,-152.4072,42.8,75,90,4.61,US,1615327648
Fortuna,40.5982,-124.1573,48.99,87,40,17.27,US,1615327648
San Ramon,37.7799,-121.978,59.0,47,75,11.5,US,1615327649
Labuhan,-6.8844,112.2051,76.26,86,97,4.34,ID,1615327649
Verkhnyaya Toyma,62.2349,44.9985,-15.5,88,17,2.95,RU,1615327649
Ulladulla,-35.35,150.4667,66.0,88,75,5.75,AU,1615327649
Les Cayes,18.2,-73.75,78.12,74,46,6.69,HT,1615327650
Castelfiorentino,43.61,10.9692,48.0,70,1,5.97,IT,1615327650
Broken Hill,-31.95,141.4333,68.0,34,86,10.36,AU,1615327650
Mergen,49.1833,125.2167,14.32,92,94,6.42,CN,1615327651
Naze,28.3667,129.4833,60.8,72,40,10.36,JP,1615327651
Claremont,34.0967,-117.7198,62.01,41,40,13.8,US,1615327652
Bambous Virieux,-20.3428,57.7575,77.0,94,20,4.61,MU,1615327652
Ayagoz,47.9714,80.4392,21.49,95,10,5.88,KZ,1615327575
Kaohsiung City,22.6163,120.3133,68.0,83,40,5.75,TW,1615327632
Longyearbyen,78.2186,15.6401,23.0,86,75,3.44,SJ,1615327652
Beira,-19.8436,34.8389,75.2,94,0,2.3,MZ,1615327653
Gimli,50.6336,-96.9907,33.8,93,100,14.97,CA,1615327653
Zhoucheng,35.9122,116.3117,43.97,88,0,4.79,CN,1615327653
Mormugao,15.4,73.8,80.6,89,20,3.44,IN,1615327654
Adrar,20.5022,-10.0711,64.78,32,100,9.57,MR,1615327654
Tasiilaq,65.6145,-37.6368,12.7,95,71,1.68,GL,1615327654
Cascas,-7.4833,-78.8167,66.49,79,94,8.41,PE,1615327655
Tiznit Province,29.5833,-9.5,51.71,77,45,5.59,MA,1615327655
Grants,35.1473,-107.8514,51.8,43,1,8.05,US,1615327483
Vammala,61.3333,22.9,3.2,66,0,8.05,FI,1615327655
Vila Verde,41.6473,-8.4372,48.2,71,0,2.35,PT,1615327656
Weymouth,42.2209,-70.9398,57.2,30,29,17.27,US,1615327656
Chabahar,25.2919,60.643,72.52,77,0,5.86,IR,1615327656
Isangel,-19.55,169.2667,79.65,69,2,13.4,VU,1615327657
Hervey Bay,-25.2986,152.8535,80.6,65,1,3.44,AU,1615327657
Rovaniemi,66.5,25.7167,3.2,92,0,2.3,FI,1615327657
Souillac,-20.5167,57.5167,75.2,94,20,4.61,MU,1615327658
Fenoarivo,-18.933,47.4354,64.4,82,75,10.36,MG,1615327658
Kiunga,-6.1219,141.2906,73.98,97,100,1.14,PG,1615327658
Xai-Xai,-25.0519,33.6442,74.39,78,0,10.2,MZ,1615327658
San Patricio,28.017,-97.5169,78.01,53,90,29.93,US,1615327659
Lüderitz,-26.6481,15.1594,64.51,70,0,7.76,NA,1615327659
Chokurdakh,70.6333,147.9167,-9.04,90,100,11.61,RU,1615327659
Jamestown,42.097,-79.2353,48.2,49,1,1.41,US,1615327660
Nueve de Julio,-35.4444,-60.8831,80.01,39,0,1.99,AR,1615327660
Coyhaique,-45.5752,-72.0662,57.2,94,90,6.91,CL,1615327660
Lagoa,39.05,-27.9833,60.48,87,100,21.56,PT,1615327661
Ilulissat,69.2167,-51.1,10.4,67,0,1.25,GL,1615327661
Palmer,42.1584,-72.3287,51.8,37,20,16.11,US,1615327661
Petropavlovsk-Kamchatskiy,53.0452,158.6483,6.8,66,40,11.18,RU,1615327662
Megion,61.0296,76.1136,1.4,85,90,4.47,RU,1615327662
Tutóia,-2.7619,-42.2744,81.03,79,100,12.06,BR,1615327662
Praia,14.9215,-23.5087,68.0,77,20,20.71,CV,1615327663
Nemuro,43.3236,145.575,34.59,97,80,18.45,JP,1615327663
Baraboo,43.4711,-89.7443,62.01,44,1,17.27,US,1615327663
Katsuura,35.1333,140.3,53.6,82,75,11.5,JP,1615327664
Neuquén,-38.9516,-68.0591,95.0,24,0,9.22,AR,1615327664
Kensington,-33.9167,151.2167,72.0,68,40,10.36,AU,1615327664
Falam,22.9167,93.6833,55.11,43,16,2.98,MM,1615327665
White Rock,49.0164,-122.8026,51.8,40,97,3.44,CA,1615327656
Sühbaatar,50.2314,106.2078,19.02,93,14,3.09,MN,1615327665
Dingle,10.9995,122.6711,72.79,88,2,7.99,PH,1615327665
Vila Franca do Campo,37.7167,-25.4333,59.0,94,75,5.75,PT,1615327666
Taltal,-25.4,-70.4833,70.2,65,3,2.82,CL,1615327666
Linguère,15.3953,-15.1193,82.4,36,0,4.61,SN,1615327666
Anadyr,64.75,177.4833,-23.01,69,0,4.47,RU,1615327667
Bonavista,48.6499,-53.1147,30.2,64,99,3.44,CA,1615327667
Manuk Mangkaw,4.8,119.85,81.86,72,100,8.41,PH,1615327667
Port-Gentil,-0.7193,8.7815,82.4,89,40,10.02,GA,1615327668
Niihama,33.9593,133.3167,51.8,66,20,16.11,JP,1615327668
Kavaratti,10.5669,72.642,82.02,75,97,9.4,IN,1615327668
Najrān,17.4924,44.1277,69.8,23,0,0.36,SA,1615327668
Puri,19.8,85.85,73.4,94,0,5.75,IN,1615327669
Iqaluit,63.7506,-68.5145,10.4,79,75,6.91,CA,1615327669
Alipur Chatha,32.2688,73.819,62.6,82,20,2.46,PK,1615327670
Buala,-8.145,159.5921,83.48,71,23,3.11,SB,1615327670
Gambēla,8.25,34.5833,81.81,34,26,3.0,ET,1615327670
Mahon,39.8885,4.2658,46.4,81,0,4.61,ES,1615327671
Arrondissement de Niort,46.3333,-0.3333,34.0,77,12,3.18,FR,1615327671
Douentza,14.9951,-2.9517,84.96,14,0,10.07,ML,1615327671
Varadero,23.1536,-81.2514,73.4,60,40,19.57,CU,1615327672
Severo-Kuril'sk,50.6789,156.125,27.64,93,100,8.93,RU,1615327672
Pacific Grove,36.6177,-121.9166,59.0,44,1,11.5,US,1615327381
Todos Santos,23.45,-110.2167,69.01,75,68,5.99,MX,1615327672
Jhajha,24.7667,86.3667,71.11,31,0,4.23,IN,1615327673
Haines Junction,60.7522,-137.5108,8.6,47,0,3.44,CA,1615327673
Sept-Îles,50.2001,-66.3821,30.2,64,100,3.44,CA,1615327382
Murmashi,68.8154,32.8115,-7.6,84,0,4.29,RU,1615327673
Goiatuba,-18.0125,-49.3547,69.22,94,100,2.84,BR,1615327674
Mandalgovi,45.7625,106.2708,30.69,74,53,11.12,MN,1615327674
Laguna,38.421,-121.4238,59.0,47,75,11.5,US,1615327675
Sakakah,29.9697,40.2064,62.6,27,0,3.44,SA,1615327675
Ambilobe,-13.2,49.05,74.39,93,100,1.41,MG,1615327675
Cehegín,38.0924,-1.7985,52.0,85,8,2.19,ES,1615327528
Tocopilla,-22.092,-70.1979,70.75,56,20,2.28,CL,1615327676
Leningradskiy,69.3833,178.4167,-13.85,85,100,4.56,RU,1615327676
Zeya,53.75,127.2667,7.79,93,100,4.92,RU,1615327676
Marzuq,14.4,46.4667,59.18,34,0,4.74,YE,1615327677
Mayo,38.8876,-76.5119,69.8,23,1,9.22,US,1615327677
Itapirapuã,-15.8233,-50.6133,73.09,92,96,1.5,BR,1615327677
Franklin,39.9667,-83.0166,64.4,24,75,10.36,US,1615327431
Yatou,37.15,122.3833,40.5,70,0,0.27,CN,1615327678
Togur,58.3631,82.8265,15.19,96,100,11.1,RU,1615327678
Solnechnyy,50.7214,136.6319,12.67,90,0,4.25,RU,1615327679
Kotido,2.9806,34.1331,72.9,46,95,8.61,UG,1615327679
Malinyi,-8.9333,36.1333,71.94,96,60,1.86,TZ,1615327679
Tazovsky,67.4667,78.7,-20.0,88,96,7.23,RU,1615327679
Rosarito,32.3333,-117.0333,60.8,63,75,13.8,MX,1615327680
Cooma,-36.2333,149.1333,50.0,100,93,1.14,AU,1615327680
Jacqueville,5.2052,-4.4146,82.4,89,40,10.36,CI,1615327681
Sinnamary,5.3833,-52.95,77.63,86,88,12.55,GF,1615327681
Nyurba,63.2842,118.3319,8.92,92,94,13.09,RU,1615327681
Warmbad,-28.45,18.7333,68.22,35,0,10.16,NA,1615327681
Gilbués,-9.8317,-45.3439,78.62,68,76,3.67,BR,1615327682
George Town,5.4112,100.3354,78.8,78,20,6.91,MY,1615327682
Sungurlu,40.1675,34.3739,39.2,63,0,2.55,TR,1615327682
Chernyshevskiy,63.0128,112.4714,3.9,92,100,16.64,RU,1615327683
Tsogni,-2.7942,10.0988,78.78,92,63,6.22,GA,1615327683
Newport,51.5877,-2.9984,46.0,79,100,1.01,GB,1615327683
Antalaha,-14.9003,50.2788,74.8,91,100,1.68,MG,1615327684
Rantoul,40.3084,-88.1559,68.0,32,1,23.02,US,1615327684
Tucuruí,-3.7661,-49.6725,76.08,91,93,4.65,BR,1615327405
Puerto Escondido,15.85,-97.0667,84.2,65,40,6.55,MX,1615327684
Nome,64.5011,-165.4064,17.6,93,40,11.5,US,1615327685
Mabaruma,8.2,-59.7833,75.85,77,72,4.97,GY,1615327685
Bathsheba,13.2167,-59.5167,78.8,61,40,17.27,BB,1615327686
Paamiut,61.994,-49.6678,19.42,91,60,7.02,GL,1615327686
Lebyazh'ye,55.2689,66.4947,14.72,97,100,5.48,RU,1615327686
Camacha,33.0833,-16.3333,59.0,63,40,11.5,PT,1615327686
Iringa,-7.7667,35.7,57.79,92,99,2.62,TZ,1615327687
Shenzhen,22.5455,114.0683,68.0,96,55,7.52,CN,1615327687
Havøysund,70.9963,24.6622,19.4,63,0,10.36,NO,1615327688
Montrose,38.4166,-108.2673,57.99,20,98,15.01,US,1615327688
Upernavik,72.7868,-56.1549,11.14,85,100,1.61,GL,1615327688
Kodinsk,58.6881,99.1844,5.67,94,81,4.9,RU,1615327689
Torata,-17.0769,-70.8433,61.75,66,67,8.3,PE,1615327689
Khatanga,71.9667,102.5,-23.89,86,100,10.42,RU,1615327689
Carutapera,-1.195,-46.02,76.06,92,100,6.51,BR,1615327690
Piaçabuçu,-10.4056,-36.4344,78.98,77,3,11.74,BR,1615327690
Palembang,-2.9167,104.7458,72.88,97,93,3.2,ID,1615327690
Dwārka,22.2394,68.9678,73.0,81,0,7.05,IN,1615327691
Auki,-8.7676,160.7034,82.49,72,79,2.15,SB,1615327691
Nevşehir,38.9167,34.6667,32.0,51,0,3.44,TR,1615327399
Zheleznodorozhnyy,55.7503,38.0042,3.2,66,0,8.95,RU,1615327691
Serebryanyy Bor,56.8,124.8,7.21,94,100,4.97,RU,1615327692
Esperance,-33.8667,121.9,60.8,88,48,12.66,AU,1615327692
Meulaboh,4.1363,96.1285,74.55,87,21,5.57,ID,1615327692
Iralaya,15.0,-83.2333,77.0,94,75,13.8,HN,1615327693
Eydhafushi,5.1033,73.0708,83.14,75,56,12.44,MV,1615327693
João Pinheiro,-17.7425,-46.1725,70.68,91,98,3.02,BR,1615327693
Hofn,64.2539,-15.2082,36.68,86,100,26.06,IS,1615327694
Kjøllefjord,70.9457,27.3465,15.8,67,0,14.97,NO,1615327694
Zyryanovsk,49.7386,84.2719,25.3,97,100,1.01,KZ,1615327695
Yangi Marg`ilon,40.4272,71.7189,48.2,61,100,5.26,UZ,1615327695
Omboué,-1.5746,9.2618,78.87,91,79,5.53,GA,1615327695
Deputatsky,69.3,139.9,-17.21,88,65,4.07,RU,1615327696
Cedar City,37.6775,-113.0619,51.8,19,1,26.46,US,1615327696
Kiryat Gat,31.61,34.7642,64.0,56,51,5.01,IL,1615327696
Bac Lieu,9.285,105.7244,77.18,80,19,13.31,VN,1615327697
Waipawa,-41.4122,175.5153,66.2,72,75,25.32,NZ,1615327697
Lavrentiya,65.5833,-171.0,8.04,88,99,16.73,RU,1615327697
Kuala Kedah,6.1,100.3,75.2,88,20,9.6,MY,1615327698
Grindavik,63.8424,-22.4338,33.8,93,90,27.63,IS,1615327698
Juneau,58.3019,-134.4197,37.4,35,1,5.75,US,1615327574
Aripuanã,-9.1667,-60.6333,76.98,85,67,2.06,BR,1615327699
Sørland,67.667,12.6934,28.4,64,40,5.75,NO,1615327699
Senneterre,48.3835,-77.2328,44.6,31,20,4.92,CA,1615327699
Bohuslav,49.5494,30.8744,19.47,96,66,3.42,UA,1615327699
Egvekinot,66.3167,-179.1667,-29.96,86,62,0.56,RU,1615327700
Biskamzha,53.4497,89.5272,14.43,92,100,1.97,RU,1615327700
