City,Latitude,Longitude,Max Temperature,Humidity,Cloud Cover,Wind Speed,Country,Date Time
Busselton,-33.65,115.3333,66.99,99,94,9.37,AU,1614899122
Ust-Tsilma,65.441,52.1498,-0.63,92,99,5.23,RU,1614899122
Qaanaaq,77.484,-69.3632,-22.9,66,0,8.5,GL,1614899123
Thompson,55.7435,-97.8558,32.0,55,40,4.61,CA,1614899060
Yar-Sale,66.8333,70.8333,5.72,95,98,6.58,RU,1614899123
East London,-33.0153,27.9116,72.19,81,72,11.05,ZA,1614899124
Pochutla,15.7432,-96.4661,86.0,65,40,9.22,MX,1614899124
Waddān,29.1614,16.139,57.02,35,59,20.13,LY,1614899124
Avera,33.194,-82.5271,69.8,28,1,8.05,US,1614899125
Poum,-20.2333,164.0167,80.33,75,97,5.41,NC,1614899125
Norman Wells,65.282,-126.8329,3.2,66,75,16.11,CA,1614899125
Kamariótissa,40.4833,25.4667,41.0,93,0,7.67,GR,1614899126
Pinellas Park,27.8428,-82.6995,68.0,52,1,16.11,US,1614898977
Karratha,-20.7377,116.8463,77.45,60,6,12.73,AU,1614899126
Castro,-24.7911,-50.0119,63.99,95,100,7.36,BR,1614899126
Maningrida,-12.0667,134.2667,77.77,78,95,9.46,AU,1614899127
Tete,-16.1564,33.5867,77.0,100,75,2.95,MZ,1614899127
Örnsköldsvik,63.2909,18.7153,21.2,79,57,9.22,SE,1614899127
Butaritari,3.0707,172.7902,81.82,78,92,19.82,KI,1614899129
Port Alfred,-33.5906,26.891,68.0,92,51,5.01,ZA,1614899129
Cuneo,44.3973,7.5445,45.0,93,75,3.44,IT,1614899130
Provideniya,64.3833,-173.3,12.51,91,95,21.3,RU,1614899131
Lambaréné,-0.7001,10.2406,76.86,90,100,2.57,GA,1614899135
Pevek,69.7008,170.3133,-0.08,92,100,1.9,RU,1614899135
Brainerd,46.358,-94.2008,42.8,39,1,3.44,US,1614898874
Cherskiy,68.75,161.3,-16.82,87,100,7.99,RU,1614899137
Chui,-33.6971,-53.4616,70.84,91,100,7.83,UY,1614899137
Vostok,46.4856,135.8833,30.72,98,91,9.1,RU,1614899138
Morondava,-20.2833,44.2833,77.02,86,100,13.02,MG,1614899138
São Filipe,14.8961,-24.4956,70.41,75,92,10.54,CV,1614899140
Dikson,73.5069,80.5464,-29.58,82,3,13.27,RU,1614899141
San Cristobal,7.7669,-72.225,82.4,57,40,4.61,VE,1614899141
Samarai,-10.6167,150.6667,83.88,66,100,9.78,PG,1614899141
Bluff,-46.6,168.3333,61.0,66,88,8.99,NZ,1614899142
Saint Paul Harbor,57.79,-152.4072,35.6,55,1,10.36,US,1614899052
Saldanha,-33.0117,17.9442,62.6,72,0,11.5,ZA,1614899143
Tiksi,71.6872,128.8694,-22.72,87,98,5.41,RU,1614899143
Khudumelapye,-23.8833,24.75,72.18,42,33,3.27,BW,1614899144
Acarí,-15.4311,-74.6158,76.6,62,88,6.29,PE,1614899144
São João da Barra,-21.6403,-41.0511,77.16,85,100,15.5,BR,1614899144
Pundaguitan,6.3711,126.1689,80.67,79,81,17.81,PH,1614899145
Punta Arenas,-53.15,-70.9167,60.8,36,0,5.75,CL,1614899147
Tshikapa,-6.4167,20.8,71.51,91,85,2.39,CD,1614899148
Geraldton,-28.7667,114.6,66.2,94,0,9.22,AU,1614899148
Mar del Plata,-38.0023,-57.5575,71.6,83,75,6.91,AR,1614898876
Hong Kong,22.2855,114.1577,68.0,91,100,12.06,HK,1614898874
Longyearbyen,78.2186,15.6401,3.2,66,75,14.97,SJ,1614899149
Puerto Baquerizo Moreno,-0.9,-89.6,80.6,89,75,9.22,EC,1614898997
Manaure,11.7751,-72.4445,79.63,66,0,23.82,CO,1614899149
Saint-Philippe,-21.3585,55.7679,77.0,78,0,5.75,RE,1614899150
Kabalo,-6.05,26.9167,69.89,88,98,1.43,CD,1614899150
Ca Mau,9.1769,105.15,72.81,92,0,6.69,VN,1614899151
Beaverlodge,55.2166,-119.4361,37.4,60,75,6.91,CA,1614899151
Cidreira,-30.1811,-50.2056,74.07,90,99,9.35,BR,1614899151
Cervo,43.6702,-7.4101,55.0,87,75,13.58,ES,1614899153
Koumac,-20.5667,164.2833,83.91,63,80,3.11,NC,1614899153
Kilindoni,-7.9139,39.6668,82.78,73,100,17.65,TZ,1614899153
Bokoro,12.3807,17.0568,79.0,16,16,15.26,TD,1614899154
Jiaojiang,28.6803,121.4428,50.0,98,19,3.15,CN,1614899155
Kaitangata,-46.2817,169.8464,62.01,51,100,1.01,NZ,1614898974
Petropavlovsk-Kamchatskiy,53.0452,158.6483,26.6,80,75,2.24,RU,1614898976
Verkhnevilyuysk,63.4453,120.3167,-30.82,82,13,6.69,RU,1614899157
Faanui,-16.4833,-151.75,83.79,74,100,13.98,PF,1614899157
Barrow,71.2906,-156.7887,-25.6,75,90,19.82,US,1614899158
Carnarvon,-24.8667,113.6333,68.0,100,40,6.91,AU,1614899158
Awjilah,29.1081,21.2869,54.48,46,20,7.63,LY,1614898999
Oriximiná,-1.7656,-55.8661,77.79,82,17,3.98,BR,1614899159
Christchurch,-43.5333,172.6333,68.0,37,2,12.66,NZ,1614899135
Mayo,38.8876,-76.5119,46.0,42,1,20.71,US,1614899159
Hermanus,-34.4187,19.2345,57.99,91,75,8.08,ZA,1614899160
Avarua,-21.2078,-159.775,82.4,78,100,8.05,CK,1614899160
Kudāl,16.0333,73.6833,72.12,68,42,3.96,IN,1614899161
Piaçabuçu,-10.4056,-36.4344,78.58,77,2,9.44,BR,1614899161
Hofn,64.2539,-15.2082,40.75,67,0,3.0,IS,1614899165
Tawang Town,27.5833,91.8667,30.72,91,85,1.16,IN,1614899165
Armidale,-30.5167,151.65,64.99,57,0,3.0,AU,1614899165
Zamora,-4.0692,-78.9567,74.48,63,41,1.54,EC,1614899079
Mataura,-46.1927,168.8643,61.0,66,96,8.99,NZ,1614899048
Kiruna,67.8557,20.2251,15.8,73,38,10.36,SE,1614899167
La Esperanza,14.8667,-91.5667,69.01,56,0,6.91,GT,1614899167
Maralal,1.0968,36.698,60.03,77,35,4.52,KE,1614899168
Pisco,-13.7,-76.2167,77.0,73,0,16.11,PE,1614899169
New Norfolk,-42.7826,147.0587,55.99,59,45,1.99,AU,1614899171
Ambilobe,-13.2,49.05,75.42,90,100,0.76,MG,1614899171
Havre-St-Pierre,50.2334,-63.5986,24.8,86,90,14.97,CA,1614899172
Russell,32.3502,-85.1999,71.6,26,1,9.22,US,1614899173
Richards Bay,-28.783,32.0377,69.1,81,0,6.22,ZA,1614899175
Cedar City,37.6775,-113.0619,55.4,22,1,13.8,US,1614899175
Tokmak,47.2514,35.7058,38.1,87,23,13.69,UA,1614899176
Myrtle Beach,33.6891,-78.8867,66.2,32,1,8.05,US,1614898960
Kerema,-7.9631,145.7785,80.35,74,100,2.8,PG,1614899176
Vaini,-21.2,-175.2,84.2,74,75,5.75,TO,1614899177
Ponta do Sol,32.6667,-17.1,60.01,75,42,5.99,PT,1614899177
Praia da Vitória,38.7333,-27.0667,57.2,94,20,8.77,PT,1614899178
Mīnāb,27.1467,57.0801,68.0,73,0,9.22,IR,1614899178
Auchel,50.5034,2.4735,39.99,95,78,4.0,FR,1614899178
Salalah,17.0151,54.0924,73.4,56,0,1.86,OM,1614899179
Itoman,26.1247,127.6694,66.2,77,75,9.22,JP,1614899179
Painesville,41.7245,-81.2457,28.0,54,75,13.8,US,1614898883
Palmer,42.1584,-72.3287,33.8,32,20,17.27,US,1614899179
Laas,46.6166,10.7002,41.0,86,0,2.3,IT,1614899181
Chanika,-5.4167,38.0167,69.8,94,100,2.26,TZ,1614899181
Saskylakh,71.9167,114.0833,-31.58,81,91,7.31,RU,1614899183
San Ramon,37.7799,-121.978,68.0,32,1,3.44,US,1614899183
Maltahöhe,-24.8333,16.9833,74.52,28,53,10.54,NA,1614899184
Khatanga,71.9667,102.5,-26.84,77,0,11.95,RU,1614899185
Vila Franca do Campo,37.7167,-25.4333,55.4,76,20,11.5,PT,1614899185
Mahébourg,-20.4081,57.7,73.4,88,20,8.05,MU,1614899185
Rāvar,31.2656,56.8055,59.95,41,90,2.33,IR,1614899186
Guaraciaba do Norte,-4.1669,-40.7475,67.66,97,100,0.98,BR,1614899186
Lebu,-37.6167,-73.65,60.4,80,0,17.52,CL,1614899187
Phonhong,18.5007,102.4166,72.43,71,10,1.95,LA,1614899189
Port Hedland,-20.3167,118.5667,73.4,78,0,6.91,AU,1614899189
Yangi Marg`ilon,40.4272,71.7189,44.6,81,90,16.11,UZ,1614899189
Krasnovishersk,60.4078,57.082,16.12,97,100,4.85,RU,1614899190
Nelson Bay,-32.7167,152.15,75.2,50,20,9.22,AU,1614899191
Hambantota,6.1241,81.1185,73.31,80,11,9.48,LK,1614899192
Megion,61.0296,76.1136,17.6,93,100,6.71,RU,1614899194
Batticaloa,7.7102,81.6924,76.35,74,11,3.87,LK,1614899194
Luena,-11.7833,19.9167,63.97,93,98,2.35,AO,1614899070
San Quintín,30.4833,-115.95,61.66,63,100,12.93,MX,1614899195
Qaqortoq,60.7167,-46.0333,51.8,28,75,26.46,GL,1614899196
Bambous Virieux,-20.3428,57.7575,75.0,88,20,8.05,MU,1614899196
Mount Isa,-20.7333,139.5,78.8,14,9,6.91,AU,1614899196
Kidal,18.4411,1.4078,76.12,18,79,10.71,ML,1614899199
Vicuña,-30.0319,-70.7081,75.99,44,0,3.87,CL,1614899199
Klaksvík,62.2266,-6.589,30.2,93,24,1.14,FO,1614899200
Leningradskiy,69.3833,178.4167,-0.94,91,100,31.38,RU,1614899200
Naze,28.3667,129.4833,64.4,68,75,6.91,JP,1614899201
Atherton,53.5237,-2.4935,39.99,64,5,4.34,GB,1614899203
Pemangkat,1.1667,108.9667,75.42,90,46,6.02,ID,1614898965
Pimentel,-6.8367,-79.9342,78.8,65,0,17.27,PE,1614899204
Woodward,36.4337,-99.3904,69.8,26,75,18.41,US,1614898957
Bredasdorp,-34.5322,20.0403,59.0,94,30,0.63,ZA,1614899204
Nhulunbuy,-12.2333,136.7667,84.2,79,40,11.5,AU,1614899205
Prince Rupert,54.3161,-130.3201,46.4,76,75,5.75,CA,1614899205
Pedersore,63.65,22.6833,21.0,92,0,2.3,FI,1614899206
Boguchany,58.3814,97.4531,10.65,94,100,6.49,RU,1614899206
Ostrovnoy,68.0531,39.5131,12.29,93,100,8.34,RU,1614899207
Hithadhoo,-0.6,73.0833,83.34,65,52,8.66,MV,1614899207
Tasiilaq,65.6145,-37.6368,33.8,93,90,4.21,GL,1614899207
Dryden,49.7833,-92.7503,37.4,38,90,2.3,CA,1614899175
Leh,34.1667,77.5833,7.97,75,24,0.67,IN,1614899209
Isangel,-19.55,169.2667,84.2,84,75,11.5,VU,1614899211
Lafia,8.4833,8.5167,80.46,16,3,2.86,NG,1614899213
Mandurah,-32.55,115.7,71.01,83,78,10.45,AU,1614899213
Mossamedes,-15.1961,12.1522,75.02,79,71,0.54,AO,1614899215
Rocha,-34.4833,-54.3333,68.88,94,100,5.03,UY,1614899216
Honiara,-9.4333,159.95,79.25,77,100,3.04,SB,1614899191
Neiafu,-18.65,-173.9833,84.2,74,40,4.61,TO,1614899217
Porto-Novo,6.4965,2.6036,86.0,84,40,13.8,BJ,1614899218
Saravena,6.9538,-71.8752,83.93,38,25,1.68,CO,1614899220
Camacha,33.0833,-16.3333,62.6,94,40,14.97,PT,1614899222
Dormidontovka,47.7702,134.9076,31.24,99,100,8.9,RU,1614899222
Lincoln,40.8,-96.667,66.2,24,1,13.8,US,1614899223
Flagstaff,35.1981,-111.6513,48.99,42,1,5.75,US,1614899224
Lerwick,60.1545,-1.1494,35.6,64,90,2.3,GB,1614899226
Varkala,8.7341,76.7067,78.8,73,20,7.34,IN,1614899228
Hervey Bay,-25.2986,152.8535,81.0,63,0,4.0,AU,1614899228
La Palma del Condado,37.3861,-6.5523,60.01,77,20,4.61,ES,1614899229
Menongue,-14.6585,17.691,62.58,90,86,3.06,AO,1614899230
Pirovskoye,57.6267,92.2658,21.94,97,100,10.27,RU,1614899231
Sühbaatar,50.2314,106.2078,-3.57,87,0,2.77,MN,1614899233
Upernavik,72.7868,-56.1549,-14.13,81,38,16.28,GL,1614899235
Bengkulu,-3.8004,102.2655,75.6,83,75,4.38,ID,1614899236
Mahajanga,-15.7167,46.3167,75.2,94,40,9.22,MG,1614899237
Choya,52.0108,86.5467,12.34,90,69,4.03,RU,1614899239
Broome,42.2506,-75.833,24.01,63,20,12.66,US,1614899240
Kangaatsiaq,68.3065,-53.4641,17.94,96,100,12.12,GL,1614899244
Erenhot,43.6475,111.9767,12.29,86,36,13.49,CN,1614899246
Livingston,55.9029,-3.5226,37.4,75,90,8.05,GB,1614899247
Laguna,38.421,-121.4238,68.0,39,1,5.75,US,1614899248
Biltine,14.5333,20.9167,71.73,20,15,20.02,TD,1614899249
Āron,24.3833,77.4167,64.72,24,41,5.88,IN,1614899251
Dingle,10.9995,122.6711,76.59,89,22,8.57,PH,1614899253
Mayumba,-3.432,10.6554,79.93,88,100,6.55,GA,1614899254
Alice Springs,-23.7,133.8833,78.8,11,0,14.97,AU,1614899258
Port Elizabeth,-33.918,25.5701,68.0,94,90,10.36,ZA,1614899260
Mareeba,-17.0,145.4333,84.0,69,40,3.44,AU,1614899261
Rio Grande,-32.035,-52.0986,70.0,98,100,11.03,BR,1614899262
Tagusao,9.1924,117.8141,77.34,82,6,4.27,PH,1614899264
Magistral'nyy,56.1725,107.4458,-21.14,83,66,5.35,RU,1614899264
Safi,32.2994,-9.2372,60.42,81,100,8.9,MA,1614899266
Grand Gaube,-20.0064,57.6608,75.0,80,79,1.01,MU,1614899267
Seymchan,62.8833,152.4333,-20.29,84,100,2.71,RU,1614899268
Aubergenville,48.96,1.8547,43.0,86,90,1.99,FR,1614899270
Tuktoyaktuk,69.4541,-133.0374,-14.8,70,20,14.97,CA,1614899008
Wexford,52.3342,-6.4575,42.01,71,100,1.01,IE,1614899271
Antalaha,-14.9003,50.2788,75.81,86,98,3.6,MG,1614899272
Oyama,36.3,139.8,51.01,81,75,1.14,JP,1614899273
Katsuura,35.1333,140.3,52.0,76,75,6.91,JP,1614899277
Ribeira Grande,38.5167,-28.7,58.26,68,56,7.49,PT,1614899279
Valparaíso,-33.0393,-71.6273,62.01,100,75,6.91,CL,1614899281
Drayton Valley,53.2168,-114.9854,36.21,84,9,6.76,CA,1614899283
Los Llanos de Aridane,28.6585,-17.9182,64.4,77,0,4.61,ES,1614899284
Cayenne,4.9333,-52.3333,79.0,89,75,6.91,GF,1614899285
Tanout,14.9709,8.8879,72.52,18,0,12.26,NE,1614899285
Cabedelo,-6.9811,-34.8339,77.0,100,20,9.22,BR,1614899286
Aasiaat,68.7098,-52.8699,15.55,95,98,6.4,GL,1614898999
Boyolangu,-8.1181,111.8935,73.63,84,100,4.43,ID,1614899287
Plettenberg Bay,-34.0527,23.3716,65.17,86,74,6.26,ZA,1614899289
Srednekolymsk,67.45,153.6833,-8.72,89,100,20.33,RU,1614899289
Cao Bang,22.6667,106.25,64.9,85,99,2.28,VN,1614899291
George Town,5.4112,100.3354,78.8,88,20,2.3,MY,1614899293
Kfar Vradim,32.9939,35.2779,43.34,96,41,1.43,IL,1614899295
Acapulco de Juárez,16.8634,-99.8901,84.2,61,20,6.91,MX,1614899297
Sitka,57.0531,-135.33,42.8,65,75,5.75,US,1614899299
Barranca,-10.75,-77.7667,73.38,78,54,5.91,PE,1614899299
Alto Araguaia,-17.3147,-53.2153,70.65,91,99,3.02,BR,1614899301
Iqaluit,63.7506,-68.5145,21.2,53,90,11.5,CA,1614899301
Horta,38.5333,-28.6333,57.06,69,59,6.98,PT,1614899302
Ayan,56.45,138.1667,-17.9,74,45,17.83,RU,1614899303
Faya,18.3851,42.4509,60.8,88,20,8.05,SA,1614899304
Margate,51.3813,1.3862,41.0,63,87,5.01,GB,1614899305
Quatre Cocos,-20.2078,57.7625,75.0,88,20,8.05,MU,1614899306
Langsa,4.4683,97.9683,74.35,90,31,1.48,ID,1614899163
Ahipara,-35.1667,173.1667,70.43,61,3,6.58,NZ,1614899309
Jackson,42.4165,-122.8345,66.99,20,1,26.46,US,1614899310
Fort Nelson,58.8053,-122.7002,12.2,62,75,2.3,CA,1614899312
Bartica,6.4,-58.6167,78.8,83,20,6.91,GY,1614899313
Ancud,-41.8697,-73.8203,66.99,63,0,4.61,CL,1614899315
Saint George,37.1041,-113.5841,64.0,31,1,3.44,US,1614899208
Takoradze,4.8845,-1.7554,79.95,87,66,10.76,GH,1614899232
Bariloche,-41.1456,-71.3082,84.2,15,0,4.61,AR,1614899319
Mehkar,20.1508,76.569,72.14,20,10,3.76,IN,1614899321
Nanortalik,60.1432,-45.2371,35.89,90,95,5.95,GL,1614899322
Cape Girardeau,37.3834,-89.7168,69.8,26,1,10.36,US,1614898730
Andilamena,-17.0167,48.5833,64.81,96,99,5.41,MG,1614899325
Hokitika,-42.7167,170.9667,54.82,80,93,9.35,NZ,1614899326
Nome,64.5011,-165.4064,5.0,85,90,31.07,US,1614899093
Miandrivazo,-19.5167,45.4667,76.28,84,100,2.71,MG,1614899327
Port Keats,-14.25,129.55,85.26,80,89,6.71,AU,1614899327
Korop,51.5664,32.9586,29.16,98,78,7.38,UA,1614899328
Nkoteng,4.5167,12.0333,73.08,88,49,5.95,CM,1614899330
Bongaigaon,26.4782,90.5568,60.62,39,0,3.53,IN,1614899332
Glushkovo,51.3392,34.6328,33.58,95,100,9.75,RU,1614899334
Dauphin,51.1494,-100.0502,32.0,100,40,5.75,CA,1614899157
Ryōtsu-minato,38.0833,138.4333,44.6,76,40,2.3,JP,1614899336
Brewster,41.3973,-73.6171,33.8,32,1,12.66,US,1614899338
Dzhebariki-Khaya,62.2167,135.8,-33.56,82,100,2.37,RU,1614899339
Tuatapere,-46.1333,167.6833,61.0,66,76,8.99,NZ,1614899339
Sarankhola,22.3082,89.7897,67.24,94,0,4.85,BD,1614899341
San Policarpo,12.1791,125.5072,79.83,81,55,14.63,PH,1614899342
Becerril,9.7041,-73.2793,88.23,30,10,4.34,CO,1614899343
Darhan,49.4867,105.9228,0.5,86,0,7.2,MN,1614899050
Stoholm,56.4845,9.1462,34.0,74,0,4.61,DK,1614899344
Hay River,60.8156,-115.7999,3.2,78,100,12.66,CA,1614899355
Inongo,-1.95,18.2667,76.78,73,67,5.77,CD,1614899356
São Félix do Xingu,-6.6447,-51.995,74.25,92,94,1.9,BR,1614899357
Carutapera,-1.195,-46.02,76.05,90,100,4.5,BR,1614899358
Mahanoro,-19.9,48.8,73.94,91,100,7.27,MG,1614899359
Zhigansk,66.7697,123.3711,-38.31,82,4,0.85,RU,1614899361
Jatiroto,-7.8833,111.1167,73.76,82,100,1.43,ID,1614899361
Sémbé,1.6481,14.5806,78.4,66,44,5.26,CG,1614899361
Fortuna,40.5982,-124.1573,62.6,36,1,16.11,US,1614899362
Lompoc,34.6391,-120.4579,62.01,59,1,14.97,US,1614899191
Husavik,66.0449,-17.3389,39.2,75,40,11.5,IS,1614899364
Diego de Almagro,-26.3667,-70.05,71.22,37,0,5.86,CL,1614899365
Nārsingi,18.0333,78.4333,70.0,40,41,6.49,IN,1614899366
Ciamis,-7.3257,108.3534,74.1,88,99,1.16,ID,1614899368
Deloraine,-41.5333,146.6667,59.0,56,4,1.99,AU,1614899369
Kutum,14.2,24.6667,55.8,35,34,10.92,SD,1614899371
Bulgan,48.8125,103.5347,5.18,83,0,2.01,MN,1614899372
Sorsk,54.0033,90.2467,9.21,86,99,3.6,RU,1614899372
Troy,42.6056,-83.1499,30.2,47,1,9.22,US,1614899193
Kaputa,-8.4689,29.6619,67.98,85,93,2.53,ZM,1614899374
Kruisfontein,-34.0033,24.7314,66.0,92,41,1.01,ZA,1614899376
Hualmay,-11.0964,-77.6139,74.68,74,62,6.42,PE,1614899376
Zuya,45.0531,34.3154,37.76,74,9,9.73,UA,1614899377
Adrar,20.5022,-10.0711,71.26,18,100,9.84,MR,1614899379
Vinh,18.6667,105.6667,68.54,93,82,0.65,VN,1614899381
Karasburg,-28.0167,18.75,74.19,32,0,6.44,NA,1614899383
Cabo San Lucas,22.8909,-109.9124,80.6,29,75,3.44,MX,1614899384
Deputatsky,69.3,139.9,-24.29,85,100,10.69,RU,1614899386
Kavieng,-2.5744,150.7967,84.25,73,90,8.84,PG,1614899387
Padang,-0.9492,100.3543,77.0,94,40,2.3,ID,1614899274
Santa Vitória do Palmar,-33.5189,-53.3681,70.84,92,100,7.7,BR,1614899389
Kavaratti,10.5669,72.642,82.4,55,0,3.44,IN,1614899389
Xinmin,41.9908,122.8253,33.8,80,90,17.9,CN,1614899390
Bathsheba,13.2167,-59.5167,78.8,69,75,18.41,BB,1614899390
Souillac,-20.5167,57.5167,73.4,88,20,8.05,MU,1614899390
Udachny,66.4167,112.4,-33.48,69,23,5.23,RU,1614899391
Monrovia,6.3005,-10.7969,78.8,94,40,6.29,LR,1614899392
Dicabisagan,17.0818,122.4157,74.52,83,2,2.82,PH,1614899393
Nishihara,26.1842,127.7558,66.2,72,75,11.5,JP,1614899395
Dwārka,22.2394,68.9678,74.59,75,0,7.96,IN,1614899396
Port Blair,11.6667,92.75,80.06,82,3,8.03,IN,1614899397
Coyhaique,-45.5752,-72.0662,71.6,43,0,9.22,CL,1614899398
Jiayuguan City,39.8167,98.3,31.23,85,100,5.37,CN,1614899399
Saraza,8.7356,117.78,78.03,83,12,10.18,PH,1614899401
Abnūb,27.2696,31.1511,53.6,62,0,11.5,EG,1614899402
Gizo Government Station,-8.103,156.8419,83.73,75,86,18.81,SB,1614899404
Myaundzha,63.0494,147.1858,-24.5,80,100,5.61,RU,1614899406
Chokurdakh,70.6333,147.9167,-9.71,90,100,22.53,RU,1614899407
Mawlaik,23.6333,94.4167,58.95,49,19,0.56,MM,1614899409
Sobolevo,54.4299,31.8996,22.23,97,51,7.81,RU,1614899412
Minsk,53.9,27.5667,23.0,93,0,6.71,BY,1614899150
Airai,-8.9266,125.4092,63.82,98,46,0.81,TL,1614899414
Palu,-0.8917,119.8707,76.03,78,98,2.24,ID,1614899415
Matara,5.9485,80.5353,72.37,84,0,5.14,LK,1614899417
Tafo,6.7345,-1.6127,77.04,87,99,7.11,GH,1614899418
Krasnyy Kut,50.95,46.9667,32.31,94,19,17.65,RU,1614899420
Sørland,67.667,12.6934,24.8,93,40,4.61,NO,1614899422
Bobcaygeon,44.5462,-78.542,21.2,42,1,11.5,CA,1614899423
Igarka,67.4667,86.5833,-3.28,91,100,13.76,RU,1614899426
Sudak,44.85,34.9667,42.49,78,5,17.36,UA,1614899427
Thakurgaon,26.0333,88.4667,62.51,31,15,4.38,BD,1614899428
Maniitsoq,65.4167,-52.9,33.12,86,91,9.82,GL,1614899429
Lircay,-12.9896,-74.7205,54.99,62,93,4.41,PE,1614899430
Oromocto,45.8351,-66.4792,19.4,73,90,12.66,CA,1614899432
Paysandu,-32.3214,-58.0756,71.01,92,100,1.99,UY,1614899348
Chingola,-12.529,27.8838,61.7,97,100,3.06,ZM,1614899433
Labé,11.3182,-12.2833,76.1,28,39,2.66,GN,1614899434
Charters Towers,-20.1,146.2667,76.21,68,58,10.6,AU,1614899436
Arlit,18.7369,7.3853,77.5,16,12,12.93,NE,1614899437
Leshukonskoye,64.8989,45.7622,1.11,93,97,4.79,RU,1614899441
Sabha,27.0377,14.4283,58.71,34,94,14.83,LY,1614899441
Padrauna,26.9025,83.9819,57.36,37,0,1.66,IN,1614899443
Cabañas,22.9758,-82.9219,73.4,73,75,10.36,CU,1614899444
Anadyr,64.75,177.4833,1.4,78,40,6.71,RU,1614899445
La Ronge,55.1001,-105.2842,39.2,65,94,5.75,CA,1614899446
Bilma,18.6853,12.9164,69.87,20,0,9.06,NE,1614899446
Guerrero Negro,27.9769,-114.0611,64.06,54,87,16.84,MX,1614899447
Grindavik,63.8424,-22.4338,39.2,93,75,6.91,IS,1614899257
Tezu,27.9167,96.1667,63.72,48,97,1.54,IN,1614899448
Luau,-10.7073,22.2247,65.28,96,99,4.21,AO,1614899449
Yatou,37.15,122.3833,41.07,95,68,7.36,CN,1614899451
Zabul Province,32.25,67.25,45.66,51,0,5.84,AF,1614899452
Nikolskoye,59.7035,30.7861,24.8,74,0,13.42,RU,1614899453
Sydney,-33.8679,151.2073,77.0,64,20,14.97,AU,1614899399
Marawi,7.9986,124.2928,71.01,87,4,5.01,PH,1614899454
Calbuco,-41.768,-73.1273,64.4,63,0,10.36,CL,1614899456
Calabazar de Sagua,22.6447,-79.8961,75.2,73,40,10.36,CU,1614899458
Tevaitoa,-16.7833,-151.5,83.23,73,86,11.68,PF,1614899459
Merauke,-8.4667,140.3333,78.57,87,100,10.11,ID,1614899460
Port-Gentil,-0.7193,8.7815,82.4,89,40,4.61,GA,1614899461
Dubti,11.7361,41.0853,76.96,57,0,10.31,ET,1614899463
